p,P(p)
0.0,0.737951807
0.02,0.09437751
0.04,0.047188755
0.06,0.032128514
0.08,0.016064257
0.1,0.015060241
0.12,0.011044177
0.14,0.014056225
0.16,0.009036145
0.18,0.002008032
0.2,0.006024096
0.22,0.001004016
0.24,0.001004016
0.26,0.001004016
0.28,0.0
0.3,0.001004016
0.32,0.0
0.34,0.0
0.36,0.0
0.38,0.0
0.4,0.002008032
0.42,0.001004016
0.44,0.002008032
0.46,0.0
0.48,0.0
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.6,0.0
0.62,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.7,0.001004016
0.72,0.0
0.74,0.001004016
0.76,0.0
0.78,0.001004016
0.8,0.001004016
0.82,0.001004016
0.84,0.001004016
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.94,0.0
0.96,0.0
0.98,0.0
1.0,0.0
